"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Missoula, MT","62,167","64,137","68,344",83,3.2,6.6,42
"Mobile, AL","47,551","48,316","50,384",324,1.6,4.3,295
"Modesto, CA","52,389","51,092","53,058",286,-2.5,3.8,320
"Monroe, LA","46,570","46,926","49,272",335,0.8,5.0,222
"Monroe, MI","52,860","56,960","59,956",176,7.8,5.3,185
"Montgomery, AL","49,259","50,135","53,266",282,1.8,6.2,64
"Morgantown, WV","50,575","52,306","55,012",252,3.4,5.2,198
"Morristown, TN","45,865","46,346","48,618",342,1.0,4.9,235
"Mount Vernon-Anacortes, WA","61,889","62,938","67,173",89,1.7,6.7,32
"Muncie, IN","45,152","45,910","47,629",356,1.7,3.7,327
"Muskegon, MI","46,526","47,460","49,244",337,2.0,3.8,325
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","50,624","51,334","54,210",261,1.4,5.6,129
"Napa, CA","87,015","89,219","94,973",10,2.5,6.4,49
"Naples-Marco Island, FL","121,237","125,249","134,527",4,3.3,7.4,12
"Nashville-Davidson--Murfreesboro--Franklin, TN","71,439","75,477","79,453",28,5.7,5.3,182
"New Bern, NC","53,592","54,318","57,334",213,1.4,5.6,142
"New Haven-Milford, CT","64,206","64,998","68,387",82,1.2,5.2,190
"New Orleans-Metairie, LA","62,890","62,881","66,588",92,0.0,5.9,95
"New York-Newark-Jersey City, NY-NJ-PA","83,995","86,058","91,448",12,2.5,6.3,62
"Niles, MI","60,474","60,359","61,127",155,-0.2,1.3,379
"North Port-Sarasota-Bradenton, FL","69,235","70,120","74,949",47,1.3,6.9,24
"Norwich-New London, CT","64,463","66,356","69,755",72,2.9,5.1,205
"Ocala, FL","44,712","44,355","46,682",368,-0.8,5.2,186
"Ocean City, NJ","73,283","73,240","78,963",30,-0.1,7.8,4
"Odessa, TX","52,569","55,329","58,961",188,5.3,6.6,40
"Ogden-Clearfield, UT","53,442","55,999","59,122",186,4.8,5.6,133
"Oklahoma City, OK","57,984","62,194","64,468",113,7.3,3.7,335
"Olympia-Lacey-Tumwater, WA","58,681","61,296","65,892",99,4.5,7.5,11
"Omaha-Council Bluffs, NE-IA","65,576","71,406","75,033",45,8.9,5.1,212
"Orlando-Kissimmee-Sanford, FL","52,947","54,615","57,774",206,3.2,5.8,111
"Oshkosh-Neenah, WI","56,110","57,505","60,180",168,2.5,4.7,258
